PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
64,01,6401,PASER,71.8,71.83,71.85,71.86,71.88,71.98,72.02,10.91,11.13,11.88,12.52,12.63,12.65,12.96,7.48,7.6,7.78,7.96,7.99,8.12,8.19,9004,9139,9150,9628,9706,9900,10171,66.54,67.11,68.18,69.61,69.87,70.3,71
64,02,6402,KUTAI BARAT,71.74,71.82,71.9,71.96,72.03,72.19,72.28,11.01,11.54,11.57,11.58,12.14,12.3,12.75,7.26,7.46,7.53,7.89,7.98,8.02,8.03,8632,8746,8801,9228,9262,9380,9492,65.9,66.92,67.14,68.13,68.91,69.34,69.99
64,03,6403,KUTAI KARTANEGARA,71.41,71.44,71.46,71.48,71.5,71.6,71.64,11.59,11.79,12.11,12.96,13.24,13.25,13.26,7.68,8.13,8.35,8.41,8.46,8.68,8.71,9063,9263,9281,9866,9984,10250,10593,67.45,68.47,69.12,70.71,71.2,71.78,72.19
64,04,6404,KUTAI TIMUR,72.08,72.16,72.23,72.3,72.37,72.39,72.45,11.01,11.3,11.59,12.12,12.42,12.43,12.44,7.92,8.12,8.39,8.56,8.6,8.69,8.72,8652,8801,9049,9297,9484,9704,9960,66.94,67.73,68.71,69.79,70.39,70.76,71.1
64,05,6405,BERAU,70.99,71.05,71.1,71.15,71.21,71.31,71.37,11.36,12.02,12.06,12.86,12.96,13.17,13.18,7.91,8.25,8.34,8.52,8.53,8.62,8.78,10913,11002,11188,11375,11471,11572,11675,69.16,70.43,70.77,72.02,72.26,72.72,73.05
64,09,6409,PENAJAM PASER UTARA,70.28,70.34,70.4,70.43,70.48,70.53,70.8,11.26,11.32,11.39,11.45,11.69,12.02,12.46,6.87,7.07,7.09,7.3,7.46,7.59,7.6,9874,10069,10199,10773,10807,10913,11019,66.37,66.92,67.17,68.07,68.6,69.26,69.96
64,11,6411,MAHAKAM HULU,,,,71.05,71.12,71.13,71.19,,,,11.82,11.87,12.03,12.42,,,,6.86,7.15,7.36,7.37,,,,7036,7071,7162,7281,,,,63.81,64.32,64.89,65.51
64,71,6471,BALIKPAPAN,73.9,73.91,73.92,73.93,73.94,73.95,73.96,12.07,12.27,12.47,13.15,13.43,13.46,13.59,10.02,10.16,10.29,10.39,10.41,10.44,10.54,12813,12922,13127,13333,13439,13705,13883,75.55,76.02,76.56,77.53,77.93,78.18,78.57
64,72,6472,SAMARINDA,73.49,73.53,73.56,73.59,73.63,73.65,73.68,13.07,13.52,13.64,13.76,14.16,14.17,14.23,9.42,9.97,10,10.2,10.26,10.31,10.33,13061,13128,13292,13455,13538,13825,14010,75.85,77.05,77.34,77.84,78.39,78.69,78.91
64,74,6474,BONTANG,73.63,73.65,73.66,73.67,73.68,73.69,73.71,11.8,11.94,12.12,12.5,12.68,12.77,12.79,10.21,10.22,10.28,10.34,10.35,10.38,10.39,15096,15271,15318,15820,15878,15980,16157,76.97,77.25,77.55,78.34,78.58,78.78,78.92
