PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
74,01,7401,BUTON,66.84,66.94,67.03,67.12,67.17,67.17,67.23,11.58,11.72,12.44,12.48,12.79,12.81,13.22,6.07,6.27,6.47,6.57,6.68,6.82,7.06,6217,6356,6498,6643,6660,6829,6950,59.44,60.12,61.38,61.83,62.31,62.78,63.69
74,02,7402,MUNA,69.74,69.75,69.76,69.76,69.76,69.76,69.77,11.68,11.95,12.22,12.26,12.45,12.89,13.2,6.78,6.78,6.87,6.96,7.05,7.33,7.66,6758,6892,7072,7592,7666,7742,7928,62.57,63.08,63.76,64.67,65.09,65.99,66.96
74,03,7403,KONAWE,69.3,69.32,69.34,69.35,69.35,69.45,69.48,11.72,11.84,11.97,12.09,12.22,12.95,12.96,7.85,8.17,8.28,8.39,8.58,8.59,8.6,8793,8846,8917,9320,9396,9471,9696,66.55,67.16,67.51,68.23,68.68,69.56,69.84
74,04,7404,KOLAKA,69.52,69.61,69.69,69.76,69.8,69.9,69.97,11.31,11.47,11.64,11.64,11.89,11.91,12.37,7.47,7.58,7.74,7.9,8.17,8.18,8.19,10804,10971,11160,11683,11699,11942,12072,67.76,68.27,68.86,69.55,70.2,70.47,71.12
74,05,7405,KONAWE SELATAN,69.6,69.66,69.71,69.75,69.77,69.87,69.93,11.16,11.28,11.41,11.47,11.6,11.9,12.16,6.96,7.01,7.07,7.24,7.49,7.7,7.71,7428,7581,7703,8217,8301,8386,8660,63.2,63.65,64.05,65.02,65.6,66.32,66.97
74,06,7406,BOMBANA,67.11,67.26,67.42,67.55,67.62,67.62,67.72,10.51,11.06,11.62,11.68,11.76,11.79,11.8,6.61,6.8,6.98,7.21,7.5,7.51,7.52,6662,6721,6781,7173,7236,7392,7607,59.85,60.84,61.82,62.82,63.38,63.65,64.02
74,07,7407,WAKATOBI,69.24,69.32,69.39,69.46,69.49,69.49,69.54,12,12.38,12.47,12.57,12.79,12.82,12.87,6.18,6.85,7.08,7.53,7.68,7.69,7.7,7648,7739,7850,8295,8306,8484,8651,63.26,64.67,65.24,66.5,66.95,67.22,67.5
74,08,7408,KOLAKA UTARA,68.87,68.98,69.07,69.15,69.19,69.49,69.62,10.38,10.4,10.49,10.58,10.8,11.64,11.92,6.74,7.13,7.24,7.35,7.46,7.48,7.49,8555,8734,8935,9472,9489,9535,9846,63.17,63.98,64.49,65.35,65.76,66.9,67.6
74,09,7409,BUTON UTARA,70.33,70.34,70.36,70.36,70.36,70.36,70.37,10.84,11.15,11.45,11.61,11.94,12.27,12.72,6.66,6.82,7.09,7.83,7.91,7.92,7.92,6263,6330,6583,6835,6850,6998,7168,60.94,61.58,62.69,64.2,64.65,65.23,65.95
74,10,7410,KONAWE UTARA,68.33,68.41,68.48,68.55,68.59,68.59,68.64,10.75,11,11.27,11.28,11.53,11.65,11.93,7.97,8.03,8.09,8.15,8.22,8.24,8.41,7594,7688,7866,8294,8397,8619,8822,63.74,64.25,64.87,65.54,66.03,66.44,67.2
74,11,7411,KOLAKA TIMUR,,,,71.28,71.31,71.51,71.58,,,,10.57,10.78,11.06,11.33,,,,6.29,6.3,6.39,6.65,,,,7032,7094,7157,7283,,,,61.78,62.13,62.74,63.6
74,12,7412,KONAWE KEPULAUAN,,,,67.85,67.86,67.86,67.87,,,,10.11,10.16,10.46,10.94,,,,8.69,8.7,8.71,8.8,,,,5986,6039,6093,6227,,,,61.15,61.31,61.72,62.56
74,13,7413,MUNA BARAT,,,,,69.76,69.76,69.78,,,,,11.59,11.62,11.64,,,,,6.22,6.23,6.24,,,,,6855,7063,7221,,,,,61.92,62.29,62.57
74,14,7414,BUTON TENGAH,,,,,67.17,67.17,67.17,,,,,12.28,12.3,12.31,,,,,6.59,6.79,7.01,,,,,6658,6759,6860,,,,,61.69,62.13,62.56
74,15,7415,BUTON SELATAN,,,,,67.17,67.17,67.17,,,,,12.52,12.53,12.54,,,,,6.35,6.55,6.81,,,,,6571,6715,6859,,,,,61.51,62,62.55
74,71,7471,KENDARI,72.76,72.81,72.87,72.92,72.94,72.94,72.98,14.93,15.67,15.74,15.81,16.03,16.04,16.05,10.43,10.91,11.18,11.57,11.65,11.66,11.67,12547,12607,12788,13303,13430,13558,13828,78.13,79.43,79.97,80.91,81.3,81.43,81.66
74,72,7472,BAUBAU,70.26,70.32,70.37,70.41,70.43,70.43,70.47,13.82,14.05,14.29,14.53,14.76,14.77,14.78,9.02,9.1,9.18,9.26,9.48,9.8,9.89,8875,9017,9180,9677,9764,9852,10110,70.6,71.11,71.65,72.55,73.13,73.59,73.99
