PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
81,1,8101,MALUKU TENGGARA BARAT,62.15,62.18,62.19,62.21,62.5,62.8,62.93,11.17,11.33,11.49,11.65,11.81,11.82,12.25,8.27,8.29,8.57,8.86,8.88,8.98,8.99,4 998,5 185,5 372,5 523,5 600,5 697,5 901,57.08,57.69,58.56,59.34,59.81,60.26,61.12
81,2,8102,MALUKU TENGGARA,63.44,63.53,63.59,63.66,63.98,64.28,64.45,11.52,11.72,11.92,11.93,12.06,12.07,12.4,8.39,8.4,8.45,8.51,8.71,9.05,9.17,6 185,6 270,6 569,6 725,6 804,6 851,7 063,60.58,60.96,61.75,62.11,62.74,63.35,64.2
81,3,8103,MALUKU TENGAH,65.11,65.17,65.24,65.29,65.59,65.79,65.93,12.26,12.71,13.07,13.42,13.55,13.56,13.77,8.36,8.37,8.37,8.48,8.88,8.89,9.18,9 108,9 143,9 391,9 495,9 547,9 578,9 672,66.12,66.64,67.3,67.89,68.69,68.85,69.54
81,4,8104,BURU,64.53,64.73,64.94,65.13,65.5,65.6,65.82,11.22,11.38,11.68,11.97,12.23,12.25,12.52,6.22,6.59,6.75,6.91,7.15,7.43,7.67,8 662,8 795,9 143,9 348,9 420,9 615,9 806,61.6,62.5,63.5,64.31,65.15,65.75,66.63
81,5,8105,KEPULAUAN ARU,61.04,61.12,61.2,61.26,61.57,61.97,62.16,10.83,10.85,10.86,11.01,11.03,11.18,11.41,7.79,7.92,7.92,7.93,7.98,8.13,8.39,6 247,6 352,6 670,6 846,6 891,6 941,7 080,58.22,58.6,59.17,59.62,59.91,60.5,61.32
81,6,8106,SERAM BAGIAN BARAT,59.39,59.46,59.53,59.59,59.9,60.5,60.72,11.79,12.03,12.27,12.34,12.7,12.84,13.24,7.72,8.05,8.3,8.37,8.42,8.42,8.43,7 321,7 365,7 621,7 734,7 779,7 921,8 121,59.9,60.59,61.47,61.79,62.39,63.02,63.76
81,7,8107,SERAM BAGIAN TIMUR,56.97,57.12,57.25,57.36,57.7,58.1,58.32,11.36,11.4,11.43,11.46,11.71,11.74,11.99,6.66,6.69,6.71,6.9,6.97,7.3,7.53,8 030,8 058,8 299,8 395,8 492,8 615,8 848,57.88,58.07,58.47,58.88,59.5,60.27,61.15
81,8,8108,MALUKU BARAT DAYA,59.96,60.08,60.14,60.28,60.63,61.13,61.37,10.67,10.71,10.82,11.14,11.3,11.55,11.78,7.17,7.31,7.31,7.32,7.6,7.61,7.85,5 643,5 697,5 964,6 088,6 150,6 189,6 298,55.75,56.1,56.74,57.34,58.09,58.64,59.43
81,9,8109,BURU SELATAN,64.78,64.88,64.95,65.04,65.36,65.46,65.6,10.9,10.93,11.21,11.49,11.69,11.82,12.22,5.56,5.7,6,6.31,6.62,6.95,6.96,6 282,6 545,6 681,6 844,6 915,7 026,7 175,57.3,57.98,58.91,59.89,60.74,61.48,62.19
81,71,8171,AMBON,68.66,68.82,68.97,69.11,69.46,69.56,69.74,14.64,14.87,15.11,15.35,15.88,15.89,15.9,10.78,11,11.21,11.44,11.61,11.63,11.64,12 421,12 535,12 862,13 047,13 146,13 318,13 497,76.07,76.7,77.49,78.16,79.09,79.3,79.55
81,72,8172,TUAL,62.71,62.93,63.15,63.37,63.76,64.06,64.33,12.37,13.11,13.29,13.46,13.84,13.86,13.87,9.22,9.33,9.43,9.54,9.65,9.67,9.76,6 081,6 144,6 420,6 553,6 642,6 683,6 803,61.7,62.69,63.56,64.16,64.95,65.2,65.64
