PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
16,1,1601,OGAN KOMERING ULU,67.54,67.58,67.59,67.6,67.6,67.63,67.65,11.66,11.72,11.76,11.8,11.99,12.54,12.55,7.34,7.42,7.57,7.57,7.91,8.17,8.33,8 029,8 277,8 470,8 782,8 848,8 923,8 993,64.13,64.62,65.09,65.51,66.21,67.18,67.47
16,2,1602,OGAN KOMERING ILIR,67.94,67.97,67.98,67.99,67.99,68.01,68.02,9.79,10.07,10.34,10.63,10.78,11.34,11.35,5.88,5.89,5.93,6.41,6.44,6.45,6.74,8 694,8 962,9 176,9 395,9 517,9 723,10 039,61.04,61.68,62.29,63.52,63.87,64.73,65.44
16,3,1603,MUARA ENIM,67.67,67.69,67.7,67.7,67.7,68,68.07,10.59,10.72,10.86,11,11.48,11.49,11.93,6.77,6.97,6.97,7.16,7.19,7.4,7.41,7 881,8 107,8 406,8 927,9 051,9 397,9 766,62.12,62.82,63.34,64.34,65.02,65.82,66.71
16,4,1604,LAHAT,63.92,64.01,64.08,64.14,64.17,64.87,65.06,11.71,11.83,11.95,12.08,12.25,12.29,12.3,7.25,7.42,7.74,7.76,7.86,8.09,8.1,7 963,8 162,8 305,8 565,8 628,8 700,9 037,62.31,62.93,63.66,64.15,64.52,65.25,65.75
16,5,1605,MUSI RAWAS,66.79,66.82,66.85,66.87,66.88,67.18,67.26,9.93,10.15,10.51,10.88,11.1,11.63,11.73,5.82,6.07,6.11,6.16,6.61,6.69,6.85,7 888,8 152,8 362,8 693,8 787,8 876,9 140,59.69,60.63,61.37,62.23,63.19,64.11,64.75
16,6,1606,MUSI BANYUASIN,67.97,67.98,67.99,67.99,67.99,68.09,68.11,10.22,10.72,10.89,11.06,11.57,11.79,11.8,7.03,7.08,7.12,7.17,7.18,7.54,7.55,7 584,7 700,8 059,8 614,8 772,8 850,9 452,61.79,62.56,63.27,64.18,64.93,65.76,66.45
16,7,1607,BANYU ASIN,68.17,68.19,68.21,68.21,68.21,68.31,68.33,10.21,10.52,10.56,10.61,10.87,11.32,11.71,6.18,6.21,6.49,6.55,6.87,6.88,6.89,7 293,7 519,7 686,8 157,8 218,8 539,8 899,60.31,61.04,61.69,62.42,63.21,64.15,65.01
16,8,1608,OGAN KOMERING ULU SELATAN,65.68,65.72,65.75,65.77,65.78,66.08,66.16,10.76,10.78,10.92,11.08,11.21,11.22,11.58,6.7,6.88,6.92,7.26,7.3,7.46,7.47,6 214,6 568,7 018,7 254,7 380,7 581,7 902,58.88,59.74,60.63,61.58,61.94,62.57,63.42
16,9,1609,OGAN KOMERING ULU TIMUR,67.65,67.7,67.75,67.78,67.79,68.19,68.31,10.78,11.03,11.28,11.53,11.66,11.79,11.79,6.16,6.5,6.66,6.82,7.05,7.05,7.06,9 558,9 692,10 106,10 537,10 767,10 862,11 024,63.36,64.27,65.18,66.09,66.74,67.17,67.38
16,10,1610,OGAN ILIR,64.22,64.29,64.33,64.36,64.38,64.58,64.65,11.18,11.24,11.3,11.37,11.63,12.24,12.26,6.41,6.72,6.87,7.01,7.34,7.35,7.36,8 620,8 940,9 208,9 548,9 689,9 809,9 846,61.62,62.47,63.03,63.64,64.49,65.35,65.45
16,11,1611,EMPAT LAWANG,63.85,63.91,63.95,63.97,63.98,64.18,64.25,11.12,11.25,11.51,11.65,11.84,11.85,12.02,6.59,6.92,6.97,7.02,7.14,7.29,7.3,8 182,8 317,8 393,8 586,8 656,8 727,8 944,61.11,61.86,62.3,62.74,63.17,63.55,64
16,12,1612,PENUKAL ABAB LEMATANG ILIR,,,,67.55,67.55,67.65,67.68,,,,10.08,10.13,10.56,10.92,,,,6.49,6.5,6.53,6.54,,,,6 851,6 941,7 197,7 491,,,,59.69,59.89,60.83,61.66
16,13,1613,MUSI RAWAS UTARA,,,,64.69,64.69,64.89,64.94,,,,10.69,10.89,11.22,11.53,,,,5.71,6.06,6.33,6.43,,,,8 823,8 892,9 051,9 272,,,,60.56,61.34,62.32,63.05
16,71,1671,PALEMBANG,69.76,69.78,69.79,69.8,69.8,70,70.05,12.69,12.93,13.14,13.34,13.67,13.7,13.71,9.64,9.82,10,10.19,10.23,10.25,10.35,12 295,12 654,12 962,13 393,13 624,13 785,13 981,73.33,74.08,74.74,75.49,76.02,76.29,76.59
16,72,1672,PRABUMULIH,69.37,69.38,69.39,69.39,69.39,69.59,69.63,11.8,11.84,11.97,12.1,12.21,12.86,12.87,8.39,8.89,9.13,9.52,9.6,9.62,9.67,10 771,11 052,11 279,11 626,11 775,12 046,12 162,69.39,70.32,70.95,71.87,72.2,73.19,73.38
16,73,1673,PAGAR ALAM,65.28,65.35,65.41,65.47,65.5,65.7,65.78,11.9,12.14,12.37,12.62,12.78,12.8,12.81,8.37,8.4,8.42,8.45,8.61,8.63,8.64,6 307,6 567,6 774,7 102,7 273,7 600,7 989,61.97,62.71,63.33,64.14,64.75,65.37,65.96
16,74,1674,LUBUKLINGGAU,68.45,68.46,68.47,68.48,68.49,68.59,68.61,12.31,13.02,13.08,13.13,13.26,13.28,13.29,9.01,9.11,9.2,9.29,9.32,9.47,9.49,11 287,11 381,11 668,12 070,12 233,12 331,12 798,70.72,71.62,72.04,72.55,72.84,73.17,73.57
16,88,1688,DANAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
