PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
91,1,9101,FAKFAK,67.15,67.28,67.35,67.4,67.62,67.72,67.84,12.91,12.99,13.08,13.17,13.25,13.26,13.51,7.64,7.95,7.96,7.97,8.09,8.12,8.22,5 333,5 558,5 793,6 662,6 731,6 796,6 935,60.95,61.94,62.56,64.29,64.73,64.92,65.55
91,2,9102,KAIMANA,62.6,62.66,62.89,63.21,63.57,63.59,63.79,10.16,10.32,10.56,11.02,11.19,11.23,11.46,6.7,6.91,7.13,7.36,7.61,7.65,7.83,6 430,6 532,6 850,7 167,7 224,7 341,7 538,57.25,57.87,58.99,60.36,61.07,61.33,62.15
91,3,9103,TELUK WONDAMA,57.21,57.52,57.81,58.04,58.36,58.66,58.96,9.07,9.25,9.61,9.97,10.26,10.33,10.48,6.29,6.33,6.36,6.43,6.5,6.52,6.57,6 340,6 606,6 884,7 162,7 222,7 317,7 434,52.97,53.74,54.69,55.65,56.27,56.64,57.16
91,4,9104,TELUK BINTUNI,57.41,57.69,57.94,58.13,58.42,59.12,59.48,10.36,10.56,10.87,10.94,11.21,11.3,11.62,6.7,6.84,6.98,7.28,7.44,7.45,7.57,7 898,8 211,8 537,8 862,8 929,9 129,9 208,56.99,57.87,58.84,59.73,60.4,61.09,61.81
91,5,9105,MANOKWARI,66.92,67.08,67.22,67.34,67.6,67.69,67.84,12.57,12.57,12.57,12.96,13.15,13.38,13.51,7.26,7.37,7.47,7.58,7.7,7.75,7.85,9 399,10 182,10 584,10 987,11 069,11 328,11 440,66.29,67.28,67.86,68.81,69.35,69.91,70.34
91,6,9106,SORONG SELATAN,64.65,64.8,64.97,65.08,65.34,65.35,65.49,9.87,10.95,11.14,11.33,11.52,11.71,11.93,6.29,6.39,6.5,6.64,6.75,6.84,6.95,4 845,5 052,5 267,5 483,5 520,5 550,5 644,54.24,56.01,56.87,57.73,58.24,58.6,59.2
91,7,9107,SORONG,64.59,64.76,64.9,64.99,65.23,65.25,65.39,11.68,12.13,12.24,12.35,12.38,12.6,12.81,6.21,6.51,6.79,7.06,7.14,7.46,7.57,5 580,5 643,5 706,6 365,6 436,6 457,6 563,57.56,58.56,59.18,60.86,61.23,61.86,62.42
91,8,9108,RAJA AMPAT,63.55,63.78,63.81,63.84,64.05,64.06,64.16,10.87,10.93,11.07,11.2,11.34,11.44,11.65,5.97,6.52,6.58,7.16,7.32,7.39,7.53,6 343,6 437,6 729,7 020,7 061,7 191,7 393,57.36,58.37,59.06,60.36,60.86,61.23,61.95
91,9,9109,TAMBRAUW,,58.35,58.39,58.48,58.72,59.02,59.16,,9.93,10.02,10.46,10.73,10.8,10.89,,4.15,4.27,4.4,4.53,4.61,4.7,,3 702,4 020,4 339,4 405,4 431,4 561,,45.97,47.18,48.69,49.4,49.77,50.35
91,10,9110,MAYBRAT,,64.34,64.39,64.43,64.65,64.65,64.73,,11.56,11.74,11.92,12.11,12.21,12.31,,5.89,5.91,5.92,5.96,6.22,6.33,,4 099,4 309,4 519,4 562,4 576,4 692,,53.29,54.13,54.93,55.36,55.78,56.35
91,11,9111,MANOKWARI SELATAN,,,,66.4,66.67,66.68,66.82,,,,12.13,12.18,12.19,12.2,,,,6.12,6.2,6.21,6.32,,,,4 109,4 149,4 578,4 702,,,,54.95,55.32,56.59,57.12
91,12,9112,PEGUNUNGAN ARFAK,,,,66.25,66.49,66.49,66.61,,,,11,11.05,11.06,11.07,,,,4.79,4.85,4.86,4.9,,,,4 522,4 563,4 570,4 594,,,,53.36,53.69,53.73,53.89
91,71,9171,SORONG,67.54,67.69,67.84,67.96,69.02,69.04,69.36,12.09,12.76,13.55,13.76,13.95,13.99,14,10.28,10.36,10.59,10.82,10.86,10.87,10.91,11 765,11 776,11 786,12 455,12 515,12 590,12 858,71.96,72.8,73.89,74.96,75.78,75.91,76.33
