PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
71,1,7101,BOLAANG MONGONDOW,67.94,67.97,67.99,68.01,68.02,68.42,68.51,10.41,10.5,10.59,10.75,10.9,10.94,11.07,6.74,6.84,6.99,7.03,7.13,7.14,7.3,8 510,8 647,8 928,9 047,9 107,9 369,9 657,62.75,63.16,63.78,64.16,64.53,65.03,65.73
71,2,7102,MINAHASA,70.07,70.12,70.17,70.22,70.25,70.35,70.4,12.03,12.18,12.34,12.55,12.83,13.53,13.93,8.89,8.95,9.06,9.16,9.53,9.54,9.54,10 553,10 737,11 067,11 235,11 320,11 405,11 827,70.38,70.82,71.43,71.94,72.76,73.59,74.37
71,3,7103,KEPULAUAN SANGIHE,68.73,68.84,68.94,69.03,69.07,69.17,69.26,10.57,10.76,10.79,10.81,11.09,11.45,11.71,7.02,7.08,7.13,7.14,7.34,7.5,7.7,9 460,9 772,10 163,10 385,10 460,10 536,10 959,64.69,65.34,65.87,66.15,66.82,67.56,68.52
71,4,7104,KEPULAUAN TALAUD,68.96,69.01,69.07,69.11,69.13,69.33,69.41,11.14,11.33,11.46,11.58,11.83,11.86,12.13,8.48,8.48,8.5,8.71,8.73,8.82,8.92,7 130,7 312,7 641,7 808,7 907,8 008,8 184,64.37,64.86,65.51,66.14,66.56,66.92,67.58
71,5,7105,MINAHASA SELATAN,68.73,68.81,68.89,68.96,69,69.1,69.17,10.76,10.8,10.83,10.85,11.1,11.44,11.75,7.93,8.03,8.14,8.25,8.47,8.7,8.71,9 468,9 740,10 183,10 425,10 549,10 674,11 133,66.11,66.61,67.26,67.68,68.36,69.18,69.97
71,6,7106,MINAHASA UTARA,70.62,70.66,70.71,70.76,70.79,70.79,70.82,11.21,11.63,11.65,11.68,11.85,12.12,12.13,8.76,8.97,8.99,8.99,9.07,9.23,9.24,9 679,9 827,10 129,10 269,10 339,10 410,10 789,68.74,69.62,70,70.19,70.54,71.09,71.49
71,7,7107,BOLAANG MONGONDOW UTARA,66.49,66.53,66.58,66.62,66.64,66.84,66.91,10.88,11.11,11.25,11.6,11.84,11.85,11.86,6.85,7.01,7.17,7.34,7.51,7.52,7.67,7 376,7 592,7 896,8 052,8 131,8 212,8 593,61.34,62.11,62.88,63.67,64.24,64.46,65.16
71,8,7108,SIAU TAGULANDANG BIARO,68.95,69.05,69.14,69.24,69.29,69.59,69.72,10.23,10.38,10.59,10.72,10.89,11.06,11.24,7.83,7.92,8.01,8.09,8.18,8.34,8.45,6 624,6 821,7 166,7 349,7 442,7 537,7 742,61.83,62.45,63.35,63.91,64.35,65,65.66
71,9,7109,MINAHASA TENGGARA,69.22,69.3,69.37,69.44,69.48,69.48,69.53,10.47,10.62,11.21,11.22,11.48,11.5,11.51,8.07,8.12,8.18,8.24,8.37,8.38,8.39,8 960,9 088,9 362,9 472,9 528,9 679,10 002,65.66,66.07,67.1,67.34,67.86,68.05,68.42
71,10,7110,BOLAANG MONGONDOW SELATAN,63.8,63.84,63.87,63.87,63.87,63.97,64,10.33,10.7,11.21,11.81,12.19,12.2,12.21,6.79,6.87,6.96,7.45,7.68,7.7,7.71,7 598,7 731,8 009,8 125,8 183,8 242,8 371,59.77,60.47,61.48,62.84,63.57,63.72,63.92
71,11,7111,BOLAANG MONGONDOW TIMUR,66.95,67,67.04,67.09,67.11,67.21,67.27,9.74,10.12,10.49,10.8,11.04,11.45,11.46,6.66,6.86,7.02,7.17,7.28,7.38,7.52,7 368,7 505,7 787,7 905,7 965,8 025,8 361,60.04,60.93,61.93,62.64,63.12,63.81,64.44
71,71,7171,MANADO,71.12,71.17,71.22,71.26,71.28,71.28,71.31,12.52,12.87,13.22,13.44,13.81,13.83,13.83,10.19,10.68,10.74,10.8,11.01,11.02,11.02,12 282,12 332,12 631,12 767,12 904,12 933,13 253,74.47,75.47,76.15,76.56,77.27,77.32,77.59
71,72,7172,BITUNG,70.23,70.24,70.25,70.25,70.25,70.45,70.5,10.45,10.64,10.83,11.02,11.3,11.77,12.24,8.84,8.93,9.03,9.15,9.26,9.28,9.37,10 711,10 843,11 120,11 233,11 348,11 513,11 718,68.86,69.31,69.89,70.35,70.88,71.64,72.43
71,73,7173,TOMOHON,70.38,70.41,70.42,70.44,70.45,70.95,71.07,13.05,13.18,13.3,13.43,13.68,14.14,14.16,9.44,9.66,9.83,10,10.2,10.22,10.23,9 620,9 792,10 110,10 265,10 367,10 469,10 936,71.27,71.85,72.5,72.99,73.56,74.36,74.91
71,74,7174,KOTAMOBAGU,69.64,69.64,69.64,69.64,69.64,69.64,69.69,11.6,11.84,11.96,12.09,12.3,12.33,12.67,8.9,9.11,9.32,9.56,9.75,9.75,9.97,8 798,8 956,9 261,9 402,9 546,9 743,10 084,67.89,68.57,69.31,69.86,70.46,70.7,71.68
71,88,7188,DANAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
